Wavenumber,RedSpruce_Abs,RedSpruce_Abs,RedSpruce_Abs,Lodgepole_Abs,Lodgepole_Abs,Lodgepole_Abs,GreenSpruce_Abs,GreenSpruce_Abs,GreenSpruce_Abs
750.1736,0.057768821,0.047118941,0.047258786,0.008649314,0.009123488,0.006889965,0.034984672,0.044646751,0.041401088
751.1378,0.069642954,0.057800596,0.058188626,0.011895298,0.012453617,0.009806471,0.043237898,0.053773024,0.050615296
752.1021,0.082826336,0.069676751,0.070492574,0.015462466,0.016131527,0.013004129,0.052470704,0.063827518,0.060955152
753.0663,0.097167844,0.082582671,0.083989595,0.019096564,0.019904737,0.016276907,0.062534183,0.07463952,0.072269023
754.0305,0.11250669,0.096367616,0.09849531,0.022546075,0.023531942,0.019430415,0.073287235,0.086042417,0.084398734
754.9948,0.128741444,0.110943382,0.113897038,0.025664702,0.026848268,0.022344983,0.084631455,0.097944108,0.097212295
755.959,0.145823086,0.126304599,0.130190231,0.02840111,0.0297923,0.024987925,0.096518833,0.110319209,0.11061743
756.9232,0.163728541,0.142476032,0.147430426,0.030804408,0.032407217,0.027389006,0.108920815,0.123176224,0.12451706
757.8875,0.182361127,0.15940579,0.16560698,0.032946247,0.03477229,0.029607874,0.121742875,0.136464033,0.13875301
758.8517,0.201488998,0.176898875,0.184560911,0.034878009,0.036949237,0.031680589,0.13478371,0.150015675,0.153061927
759.8159,0.220718672,0.19457256,0.20389826,0.03659619,0.03894727,0.033601047,0.147727591,0.16351548,0.16708488
760.7802,0.239621047,0.21196948,0.223081672,0.038049688,0.040714031,0.035378089,0.160239385,0.176595606,0.180455956
761.7444,0.257641364,0.22848916,0.241535755,0.039184669,0.042192356,0.036913285,0.171912104,0.188828277,0.192766912
762.7086,0.274421755,0.243718616,0.258833459,0.04000765,0.043348993,0.038164667,0.182515398,0.199961161,0.203805455
763.6729,0.28991302,0.257541405,0.274829019,0.040585265,0.044220747,0.039144058,0.192061464,0.210008334,0.213601939
764.6371,0.304396193,0.270180103,0.289719185,0.041034044,0.044888455,0.039941325,0.200804986,0.219249984,0.222446399
765.6013,0.318437044,0.282171871,0.304017271,0.041478244,0.045467475,0.040643012,0.209221917,0.228206932,0.230837033
766.5656,0.332798415,0.29426972,0.318468237,0.042019565,0.046056169,0.041347609,0.217916274,0.237522956,0.239397729
767.5298,0.348326452,0.307341755,0.33397755,0.042696888,0.046714159,0.042109128,0.227556043,0.247884395,0.248813048
768.494,0.36593121,0.32232658,0.351557662,0.043519225,0.047469751,0.042963301,0.23883644,0.259981601,0.259792417
769.4583,0.386560733,0.340184984,0.372306514,0.044478041,0.048355489,0.043960791,0.252464325,0.274488156,0.273064461
770.4225,0.411156147,0.36186375,0.397319851,0.045617241,0.049431009,0.045185511,0.269115444,0.292038243,0.289331202
771.3867,0.440511158,0.388142113,0.427538425,0.047008461,0.050784055,0.046762846,0.289327842,0.313126593,0.309155427
772.351,0.474994456,0.419393834,0.463423159,0.048730837,0.052498109,0.048830127,0.313296117,0.337933076,0.332759513
773.3152,0.514219881,0.455280679,0.504597204,0.050835809,0.054622216,0.051477257,0.340661785,0.366091436,0.35981029
774.2794,0.556666101,0.494395144,0.549483572,0.053257217,0.057072146,0.054665235,0.370272811,0.396455065,0.389158029
775.2437,0.599477366,0.534089089,0.59506853,0.055781079,0.059602304,0.058169751,0.400072941,0.426953282,0.41874873
776.2079,0.638565837,0.570572699,0.637053837,0.058048006,0.061824421,0.061572642,0.427223872,0.454723374,0.445728458
777.1721,0.669083644,0.599343947,0.670335455,0.059608533,0.063250885,0.064326818,0.44844302,0.476431525,0.466798541
778.1364,0.68622328,0.615937117,0.689853468,0.060018186,0.063415293,0.065855294,0.460571991,0.488853832,0.478780759
779.1006,0.686150971,0.616784294,0.69153852,0.058905078,0.061950638,0.06562934,0.461166377,0.489494606,0.479205229
780.0648,0.666865751,0.600005927,0.673240028,0.056075258,0.058677128,0.063323024,0.449031459,0.477136435,0.466869846
781.0291,0.628636572,0.565832553,0.63515142,0.051507615,0.053629369,0.058840533,0.424472437,0.452102633,0.442072048
781.9933,0.574023923,0.516596824,0.579868607,0.045406488,0.047056059,0.052346536,0.389253611,0.416210443,0.406582225
782.9575,0.507397345,0.456301607,0.511884211,0.038151599,0.039384566,0.044292157,0.346282246,0.372438005,0.363304124
783.9218,0.434187732,0.389905965,0.43681322,0.030265447,0.031163244,0.035307829,0.299098174,0.324398748,0.315776918
784.886,0.359982936,0.322506237,0.360464222,0.022353235,0.022995369,0.026152997,0.251314886,0.275759918,0.267619682
785.8502,0.289750845,0.258629785,0.288022012,0.015035167,0.01547813,0.017604543,0.206130706,0.229756748,0.222031181
786.8145,0.227243649,0.201684376,0.223402856,0.008846251,0.009134383,0.01035864,0.165944518,0.188804734,0.181426367
787.7787,0.174689431,0.153698051,0.168951724,0.004183792,0.004336041,0.004887839,0.132163587,0.154324306,0.147240464
788.7429,0.132822524,0.115357255,0.125474241,0.001234583,0.001285394,0.001437021,0.105242526,0.126780363,0.119950711
789.7072,0.101147317,0.086228835,0.092501995,6.95E-16,1.12E-14,-8.30E-16,0.084842327,0.105836694,0.0992453
