Wavenumber,GreenSpruce_Abs,GreenSpruce_Abs,GreenSpruce_Abs,Lodgepole_Abs,Lodgepole_Abs,Lodgepole_Abs,RedSpruce_Abs,RedSpruce_Abs,RedSpruce_Abs
743.424,1.57E-02,3.89E-01,5.84E-02,-5.56E-11,-1.71E-10,-2.62E-10,2.30E-02,5.19E-03,2.10E-02
744.388,2.08E-02,4.09E-01,6.76E-02,7.59E-11,9.68E-11,9.34E-11,3.03E-02,9.59E-03,2.94E-02
745.352,2.63E-02,4.29E-01,7.73E-02,2.55E-04,-1.38E-11,-1.09E-11,3.80E-02,1.47E-02,3.86E-02
746.317,3.23E-02,4.49E-01,8.72E-02,7.87E-04,8.22E-11,4.82E-11,4.61E-02,2.03E-02,4.84E-02
747.281,3.87E-02,4.67E-01,9.66E-02,1.58E-03,-2.62E-10,-1.34E-10,5.46E-02,2.64E-02,5.85E-02
748.245,4.54E-02,4.85E-01,1.06E-01,2.71E-03,1.69E-10,9.93E-11,6.39E-02,3.31E-02,6.91E-02
749.209,5.26E-02,5.03E-01,1.14E-01,4.27E-03,7.74E-04,4.66E-04,7.39E-02,4.06E-02,8.04E-02
750.174,6.05E-02,5.21E-01,1.22E-01,6.38E-03,2.50E-03,1.53E-03,8.50E-02,4.94E-02,9.27E-02
751.138,6.90E-02,5.40E-01,1.31E-01,9.12E-03,5.00E-03,3.16E-03,9.70E-02,5.95E-02,1.06E-01
752.102,7.83E-02,5.59E-01,1.40E-01,1.25E-02,7.98E-03,5.21E-03,1.10E-01,7.10E-02,1.21E-01
753.066,8.81E-02,5.79E-01,1.51E-01,1.64E-02,1.11E-02,7.48E-03,1.23E-01,8.36E-02,1.37E-01
754.03,9.84E-02,6.00E-01,1.63E-01,2.06E-02,1.41E-02,9.69E-03,1.37E-01,9.70E-02,1.54E-01
754.995,1.09E-01,6.20E-01,1.75E-01,2.49E-02,1.67E-02,1.16E-02,1.51E-01,1.11E-01,1.71E-01
755.959,1.19E-01,6.39E-01,1.88E-01,2.90E-02,1.90E-02,1.32E-02,1.64E-01,1.24E-01,1.87E-01
756.923,1.30E-01,6.59E-01,2.02E-01,3.27E-02,2.09E-02,1.43E-02,1.78E-01,1.37E-01,2.03E-01
757.888,1.40E-01,6.78E-01,2.16E-01,3.59E-02,2.24E-02,1.51E-02,1.91E-01,1.51E-01,2.19E-01
758.852,1.50E-01,6.97E-01,2.29E-01,3.85E-02,2.37E-02,1.58E-02,2.05E-01,1.63E-01,2.35E-01
759.816,1.60E-01,7.16E-01,2.42E-01,4.06E-02,2.48E-02,1.66E-02,2.18E-01,1.76E-01,2.51E-01
760.78,1.68E-01,7.35E-01,2.54E-01,4.25E-02,2.57E-02,1.77E-02,2.31E-01,1.88E-01,2.67E-01
761.744,1.77E-01,7.54E-01,2.66E-01,4.42E-02,2.63E-02,1.90E-02,2.44E-01,2.00E-01,2.82E-01
762.709,1.84E-01,7.72E-01,2.77E-01,4.57E-02,2.65E-02,2.03E-02,2.55E-01,2.12E-01,2.97E-01
